year,state,quarter,totalRXImputed
2019,OH,1,313897
2019,OH,2,311889
2019,OH,3,300173
2019,OH,4,277042
2019,OK,1,62095
2019,OK,2,62434
2019,OK,3,59477
2019,OK,4,56960
2019,PA,1,167861
2019,PA,2,159760
2019,PA,3,146687
2019,PA,4,137026
2019,SC,1,44445
2019,SC,2,41653
2019,SC,3,44381
2019,SC,4,48152
2019,TN,1,94716
2019,TN,2,101350
2019,TN,3,111074
2019,TN,4,103941
2019,UT,1,32667
2019,UT,2,35057
2019,UT,3,34107
2019,UT,4,31323
2019,VA,1,244979
2019,VA,2,339345
2019,VA,3,301638
2019,VA,4,318644
2019,WA,1,156269
2019,WA,2,153184
2019,WA,3,153383
2019,WA,4,138700
2019,WV,1,54781
2019,WV,2,53966
2019,WV,3,50027
2019,WV,4,49340
2020,AK,1,15175
2020,AK,2,16250
2020,AK,3,17129
2020,AK,4,14674
2020,AZ,1,124734
2020,AZ,2,121067
2020,AZ,3,127479
2020,AZ,4,97758
2020,CO,1,96840
2020,CO,2,91082
2020,CO,3,100301
2020,CO,4,95723
2020,CT,1,60614
2020,CT,2,53672
2020,CT,3,61121
2020,CT,4,60724
2020,DE,1,23728
2020,DE,2,22142
2020,DE,3,21713
2020,DE,4,11691
2020,FL,1,157631
2020,FL,2,156068
2020,FL,3,171482
2020,FL,4,171804
2020,HI,1,18840
2020,HI,2,18667
2020,HI,3,20075
2020,HI,4,19220
2020,IL,1,160935
2020,IL,2,153727
2020,IL,3,167816
2020,IL,4,82039
2020,IN,1,122740
2020,IN,2,120714
2020,IN,3,141205
2020,IN,4,123036
2020,KY,1,157045
2020,KY,2,151332
2020,KY,3,162353
2020,KY,4,129195
2020,LA,1,137040
2020,LA,2,129036
2020,LA,3,147559
2020,LA,4,149626
2020,MI,1,216714
2020,MI,2,202844
2020,MI,3,224448
2020,MI,4,179422
2020,MO,1,80055
2020,MO,2,69877
2020,MO,3,89179
2020,MO,4,84993
2020,MS,1,40344
2020,MS,2,37511
2020,MS,3,41114
2020,MS,4,40928
2020,NC,1,92116
2020,NC,2,72309
2020,NC,3,205905
2020,NC,4,116986
2020,NH,1,12691
2020,NH,2,12240
2020,NH,3,13322
2020,NH,4,13101
2020,NJ,1,114534
2020,NJ,2,102452
2020,NJ,3,117400
2020,NJ,4,75156
2020,NV,1,80895
2020,NV,2,80739
2020,NV,3,84829
2020,NV,4,72423
2020,NY,1,254137
2020,NY,2,225942
2020,NY,3,268530
2020,NY,4,224074
2020,OH,1,262305
2020,OH,2,245395
2020,OH,3,276997
2020,OH,4,186677
2020,OK,1,50878
2020,OK,2,47667
2020,OK,3,57427
2020,OK,4,54260
2020,PA,1,128689
2020,PA,2,111184
2020,PA,3,126250
2020,PA,4,72490
2020,SC,1,45364
2020,SC,2,40491
2020,SC,3,35922
2020,SC,4,21841
2020,TN,1,112743
2020,TN,2,87680
2020,TN,3,88758
2020,TN,4,78226
2020,UT,1,32210
2020,UT,2,31881
2020,UT,3,31980
2020,UT,4,27309
2020,VA,1,323696
2020,VA,2,513946
2020,VA,3,521208
2020,VA,4,565592
2020,WA,1,132843
2020,WA,2,127136
2020,WA,3,141817
2020,WA,4,128441
2020,WV,1,44278
2020,WV,2,39303
2020,WV,3,44689
2020,WV,4,41238
2020,WY,1,5623
2020,WY,2,5454
2020,WY,3,5832
2020,WY,4,5852
